Theta, Alpha, Low_beta, High_beta, Gamma
845.902,1209.97,1718.81,1045.16,1170.63,
846.649,459.78,237.667,460.485,544.012,
845.902,1209.97,1718.81,1045.16,1170.63,
846.649,459.78,237.667,460.485,544.012,
845.902,1209.97,1718.81,1045.16,1170.63,
846.649,459.78,237.667,460.485,544.012,
845.902,1209.97,1718.81,1045.16,1170.63,
846.649,459.78,237.667,460.485,544.012,
845.902,1209.97,1718.81,1045.16,1170.63,
846.649,459.78,237.667,460.485,544.012,
845.902,1209.97,1718.81,1045.16,1170.63,
846.649,459.78,237.667,460.485,544.012,
845.902,1209.97,1718.81,1045.16,1170.63,
846.649,459.78,237.667,460.485,544.012,
845.902,1209.97,1718.81,1045.16,1170.63,
846.649,459.78,237.667,460.485,544.012,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
189.004,161.669,52.2723,116.462,181.173,
272.141,363.14,597.234,381.162,361.302,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
28.6708,54.1483,10.5113,30.8572,32.9653,
79.4442,66.368,156.936,98.9314,97.9301,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
23.6801,27.8181,30.8402,32.0563,14.2252,
2.81004,3.64512,4.04874,2.98555,5.85328,
